id,age,gender,area,status,education,consuptionAbility,device,work,connectionType,behavior
5685,,,,,,,,,,
5686,47,,1,,,,,,3,11
5687,,,394,,,,,,,
5688,,,1,,,,,,,
5689,,,,,,,,,,
5690,10,,2,,,,,,,49
5691,3,,,,,,,,,
5692,7,,,,,,,,,
5693,,,,,,,,,,
5694,21,,1,,,,,,,
5695,8,,394,,,,,,,
5696,34,,1,2,,,,,,
5697,,,394,,,,,,,
5698,,,,,,,,,,20
5699,29,,72,,,,,,,
5700,9,,,,,,,,,
5701,31,,,,,,,,,
5702,4,,,,,,,,,
5703,,,1,,,,,,,
5704,3,,21,,1,,,,,25
5705,31,,,,,,,,,
5706,10,,,,4,,,,2,61
5707,,,1,,,,,,,
5708,13,,1,,,,,,,
5709,32,,1,,,,,,,
5710,3,,,,,,,,,
5711,,,,,,,,,,
5712,12,,11,,,,,,2,4
5713,8,,,,,,,,,
5714,27,,52,,,,1,,2,
5715,11,,,,,,,,,
5716,21,,52,6,4,,,,,42
5717,6,,14,,,,,,,
5718,10,,,,4,,,,2,11
5719,25,,,,,,,,,
5720,12,1,1,,,,,,,
5721,20,,1,,4,,,,,
5722,7,1,3,,,,,,,43
5723,41,,1,,,,,,,
5724,22,1,556,,,,2,,,9
5725,19,,2,,,,,,,10
5726,10,,,,4,,,,2,24
5727,9,,10,,,,,,,
5728,,,1,,,,,,,
5729,,,,,,,,,,
5730,34,1,48,,,1,,,,3
5731,7,,1,,4,,,,,89
5732,25,1,16,,,,,,,73
5733,21,,1,,,,,,,
5734,27,1,9,,,,,,,
5735,34,,1,,,,,,,
5736,,,1,,,,,,,
5737,25,,,,,,,,,
5738,5,,,,,,,,,
5739,5,,1,,,,,,,
5740,12,,52,,,,1,,2,
5741,14,,,,,,,,,
5742,,,,,,,,,,
5743,,,,,,,,,,
5744,29,,,,,,,,,
5745,19,,,,,,,,,
5746,4,1,25,,,,,,2,24
5747,,,1,,,,,,,
5748,19,,,,,,,,,
5749,4,,,,,,,,,
5750,19,,1,,,,,,,11
5751,11,,4,,,,,,,11
5752,24,,1,,,,,,,
5753,7,,2,,,,,,,
5754,19,,47,,,,,,,31
5755,34,,1,2,,,,,,
5756,22,,2,3,,,,,,10
5757,,,1,,,,,,,
5758,22,,1,,,,,,,
5759,7,,2,,3,,,,,8
5760,,,,,,,,,,
5761,44,,,,,,,,,
5762,15,,,,,,,,,
5763,14,,,,,,,,,
5764,6,,52,,,,1,,2,
5765,31,,,,,,,,,
5766,10,,80,,,,,,,26
5767,22,,26,,,,,,,
5768,19,,4,,,,,,,11
5769,33,,,,,,,,,
5770,6,,,,,,,,,
5771,36,,,,,,,,,22
5772,,,,,,,,,,
5773,9,,,,,,,,,
5774,11,,32,,4,,,,,44
5775,7,,,,,,,,,
5776,25,,,,,,,,,
5777,975,,11,,,,,,,
5778,,,1,,,,,,,
5779,2,1,6,4,,,,,,
5780,34,,1,2,,,,,,
5781,10,,,,,,,,,
5782,17,,,,,,,,,
5783,24,,1,,,,,,,
5784,7,,,,2,,,,,10
5785,31,,,,,,,,,
5786,31,,,,,,,,,
5787,,,,,,,,,,
5788,7,,,,4,,,,2,24
5789,18,,260,,,,,,,
5790,,,,,,,,,,
5791,23,,,,,,,,,
5792,12,1,,,,,,,,
5793,22,,1,,,,,,,
5794,,,,,,,,,,
5795,17,1,18,,,,,,,6
5796,8,,1,,,,,,,
5797,31,,,,,,,,,
5798,2,1,7,,,,,,,
5799,12,,,,,,,,,
5800,11,,,,,,,,,13
5801,7,,,,,,,,,
5802,31,,,,,,,,,
5803,34,,1,,,,,,,
5804,31,,,,,,,,,
5805,3,,,,,,,,,
5806,,,1,,,,,,,
5807,13,,,,,,,,,
5808,10,,1,,,,,,,
5809,,,64,,,,,,,
5810,9,,1,,,,,,,
5811,5,,,,,,,,,
5812,,,394,,,,,,,
5813,31,,,,,,,,,
5814,31,,,,,,,,,
5815,6,,,,,,,,,
5816,3,1,2,,,,,,,
5817,4,,7,,,,,,,4
5818,,,,,,,,,,
5819,,,,,,,,,,
5820,18,,2,3,,,,,2,
5821,47,,1,,,,,,3,11
5822,,,,,,,,,,
5823,,,,,,,,,,
5824,,,,,,,,,,
5825,,,,,,,,,,
5826,,,,,,,,,,
5827,,,,,,,,,,
5828,31,,,,,,,,,
5829,24,,54,,,,,,,
5830,,,1,,,,,,,
5831,13,1,8,7,,,2,,,80
5832,12,1,1,,,,,,,
5833,965,,31,,,,,,,
5834,3,,96,,,,,,,
5835,17,,72,,,,,,,
5836,45,,2,,,,,,,4
5837,10,,,,4,,,,2,19
5838,17,1,13,,,,,,,
5839,5,,62,,,,,,,
5840,,,,,,,,,,
5841,16,,,,,,,,,
5842,31,,,,,,,,,
5843,31,,,,,,,,,
5844,34,,1,2,,,,,,
5845,49,,,,,,,,,
5846,3,,2,3,,,,,,10
5847,5,,1,,,,,,,
5848,,,1,,,,,,,
5849,2,1,14,,,,,,,
5850,21,,1,,,,,,,2
5851,3,1,25,,,,,,2,24
5852,31,,,,,,,,,
5853,34,,5,,,,,,,
5854,21,,1,,,,,,,
5855,29,1,26,,,2,,,2,9
5856,11,,1,,,,,,,
5857,11,,20,,,,,,,29
5858,,,54,,,,,,,
5859,10,,,,,,,,,
5860,14,,,,,,,,,
5861,6,,,,,,,,,
5862,8,,1,,,,,,,
5863,31,,,,,,,,,
5864,19,,1,,,,,,,11
5865,4,,1,,,,,,,
5866,27,,,,,,,,,
5867,,,1,,,,,,,
5868,31,,,,,,,,,
5869,3,1,,,,,,,,82
5870,33,,6,,,,,,2,
5871,16,,1,,,,,,,13
5872,9,1,16,,,,,,,73
5873,,,1,,,,,,,
5874,12,,,,,,,,,
5875,3,,394,,,,,,,44
5876,31,,,,,,,,,
5877,15,,1,,,,,,,
5878,31,,,,,,,,,
5879,,,1,,,,,,,
5880,,,,,,,1,,,2
5881,,,2,,,,,,,
5882,,,,,,,,,,
5883,,,394,,,,,,,
5884,10,1,50,,,1,,,,
5885,12,,20,,,,,,,29
5886,28,,1,,,,,,,18
5887,2,1,7,,,,,,,
5888,19,,2,,,,,,,
5889,26,,,,,,,,,
5890,13,,13,,4,,,,,3
5891,,,,,,,,,,
5892,16,,1,,,,,,,
5893,31,,1,,,,,,,
5894,11,,,,,,,,,
5895,31,,,,,,,,,
5896,31,,,,,,,,,
5897,21,,,,,,,,,
5898,12,1,21,,,,,,,3
5899,22,,,,,,,,,
5900,38,,,4,5,,,,,
5901,,,1,,,,,,,
5902,15,,,,,,,,,
5903,32,,93,,,,,,,4
5904,21,,,,,,,,,
5905,31,,,,,,,,,
5906,986,,,,,,,,,
5907,,,,,,,,,,
5908,9,,1,1,,,,,,8
5909,,,1,,,,,,,
5910,,,1,,,,,,,
5911,,,1,,,,,,,
5912,5,,,,,,,,,
5913,32,,1,,,,,,,
5914,31,,,,,,,,,
5915,12,,11,,,,,,2,4
5916,,,,,,,,,,
5917,37,,124,,,,,,,
5918,4,1,66,,,,,,,18
5919,14,,,,,,,,,
5920,,,1,,,,,,,
5921,,,,,,,,,,
5922,2,1,10,,,,,,,
5923,33,,6,,,,,,2,
5924,25,,1,,,,,,,
5925,11,,1,,,,,,,
5926,23,,,,,,,,,
5927,5,1,201,,3,1,3,,4,13
5928,44,,,,,,,,,
5929,10,,1,,,,,,,
5930,31,,,,,,,,,
5931,16,,,,,,,,,
5932,13,,1,,,,,,,
5933,11,,10,,6,,,,,
5934,,,,,,,,,,
5935,,,394,,,,,,,
5936,27,,,,,,,,,
5937,17,,,,,,,,,
5938,31,,,,,,,,,
5939,7,,,,,,,,,
5940,20,,2,,3,,,,,8
5941,4,,40,,,,,,,
5942,,,,,,,,,,
5943,6,,,,,,,,,
5944,,,1,,,,,,,
5945,4,1,23,,,,,,3,5
5946,6,,14,,,,,,,
5947,9,,,,,,,,,
5948,6,,1,,,,,,,
5949,31,,,,,,,,,
5950,31,,,,,,,,,
5951,,,4,,,,,,,
5952,,,1,,,,,,,
5953,31,,,,,,,,,
5954,31,,,,,,,,,
5955,,,,,1,,1,,,
5956,29,1,,,,,,,,56
5957,,,1,,,,,,,
5958,12,,,,,,,,,
5959,13,,,,,,,,,
5960,,,,,,,,,,
5961,34,,1,2,,,,,,
5962,31,,,,,,,,,
5963,39,,,,,,,,,13
5964,22,,60,,,,,,,34
5965,31,,,,,,,,,
5966,11,,,,,,,,,
5967,975,,11,,,,,,2,4
5968,,,,,,,,,,
5969,2,1,1,,,,,,,
5970,18,,,,,,,,,
5971,5,,,,,,,,,
5972,31,,,,,,,,,
5973,24,,,,,,,,,
5974,31,,,,,,,,,
5975,31,,,,,,,,,
5976,16,,11,,,,,,2,4
5977,32,,1,,,,,,,13
5978,,,,,,,,,,
5979,10,1,94,,,,,,,
5980,,,,,,,,,,
5981,31,,,,,,,,,
5982,31,,,,,,,,,
5983,31,,,,,,,,,
5984,,,,,,,,,,
5985,3,,56,,,,,,,
5986,31,,,,,,,,,
5987,25,,,,,,,,,
5988,5,,,,,,,,,
5989,16,,1,,,,,,,
5990,31,,,,,,,,,
5991,,,1,,,,,,,
5992,4,,,,4,,,,2,12
5993,19,,,,,,,,,
5994,3,,,,,,,,,
5995,10,,,,,,,,,22
5996,21,,1,,,,,,,
5997,10,,1,,4,,,,,
5998,6,,,,,,,,,
5999,,,64,,,,,,,
6000,31,,,,,,,,,
6001,44,1,81,,5,,,,,
6002,31,,,,,,,,,
6003,31,,,,,,,,,
6004,16,,1,,,,,,,
6005,37,,,4,,1,,,,
6006,8,,,,4,,,,2,30
6007,4,1,94,,,,,,,
6008,31,,,,,,,,,
6009,18,1,3,,,,,,,43
6010,12,,,4,5,,,,,
6011,,,,,,,,,,
6012,31,,,,,,,,,
6013,,,22,,,,,,,
6014,14,,11,,,,,,2,4
6015,22,1,16,,,,,,,73
6016,,,,,,,,,,
6017,4,,,,,,,,,
6018,17,,,,,,,,,
6019,10,1,16,,,,,,,73
6020,,,1,,,,,,,
6021,6,1,2,,,,,,,163
6022,32,,93,,,,,,,4
6023,,,1,,,,,,,
6024,31,,,,,,,,,
6025,,,1,,,,,,,
6026,,,62,,,,,,,
6027,9,,4,,,,,,,
6028,,,1,,,,,,,
6029,28,1,66,,,,,,,18
6030,,,,,,,,,,
6031,12,,15,,,,,,,
6032,,,,,,,,,,
6033,4,,,,,,,,,
6034,,,1,,,,,,,
6035,,,1,,,,,,,
6036,19,1,2,,,,,,,69
6037,,,,,,,,,,
6038,,,1,,,,,,,
6039,36,,,,,,,,,22
6040,12,,62,,,,,,,
6041,35,,56,,,,,,,
6042,5,,,,,,,,,
6043,,,1,,,,,,,
6044,9,,57,,5,,,,,18
6045,6,,90,,,,,,,
6046,34,,,,,,,,,
6047,,,1,,,,,,,
6048,,,394,,,,,,,
6049,4,,,,,,,,,
6050,31,,,,,,,,,
6051,2,1,1,,,,,,,
6052,9,1,323,,,,2,,3,27
6053,6,,2,3,,,,,,10
6054,,,,,,,,,,
6055,13,,1,,,,,,,
6056,28,,,,,,,,,
6057,,,60,,,,,,,
6058,,1,,,,,,,,
6059,27,,17,,,,,,2,21
6060,20,,1,,,,,,,
6061,19,,,,,,,,,
6062,,,,,,,,,,
6063,19,,,,,,,,,
6064,14,,,,,,,,,
6065,,,1,,,,,,,
6066,26,,,,,,,,,
6067,12,,,,,,,,,
6068,,,,,,,,,,
6069,11,,1,,,,,,,
6070,31,,,,,,,,,
6071,31,,,,,,,,,
6072,31,,,,,,,,,
6073,31,,,,,,,,,
6074,40,1,2,,,,,,,141
6075,14,,1,,4,,,,,
6076,,,394,,,,,,,
6077,31,,,,,,,,,
6078,12,,4,,,,,,4,
6079,34,,1,2,,,,,,
6080,31,,,,,,,,,
6081,,,,,,,,,,
6082,,,,,,,,,,
6083,,,,,,,,,,
6084,,,,,,,,,,
6085,22,1,556,,,,2,,,9
6086,,,64,,,,,,,
6087,25,1,68,,,,,,,77
6088,13,,1,,,,,,,
6089,,,,,,,,,,
6090,33,,,,,,,,,3
6091,21,,,,,,,,,
6092,31,,,,,,,,,
6093,31,,1,,,,,,,
6094,22,1,16,,,,,,,73
6095,,,,,,,,,,
6096,10,,1,,,,,,,
6097,,,,,,,,,,
6098,4,,26,,,,,,,
6099,31,,,,,,,,,
6100,39,,1,,,,,,,
6101,12,,,,,,,,,
6102,24,1,2,,,,,,,163
6103,,,,,,,,,,
6104,4,,,,,,,,,
6105,12,1,,,,,,,,
6106,10,1,2,,,,,,,141
6107,5,,2,,,,,,4,22
6108,,,1,,,,,,,
6109,18,,,,,,,,,
6110,4,1,23,,,,,,3,5
6111,,,,,,,,,,
6112,10,,,,4,,,,2,21
6113,37,,124,,,,,,,
6114,,,,,,,,,,
6115,16,,,,,,,,,
6116,11,,64,,,,,,2,
6117,9,,1,1,,,,,,8
6118,,,,,,,,,,
6119,47,,1,,,,,,3,11
6120,31,,,,,,,,,
6121,31,,,,,,,,,
6122,8,,,,,,,,,
6123,7,,,,,,,,2,
6124,15,,,,,,,,,
6125,9,,,,,,,,,
6126,12,,5,,,,,,,
6127,9,1,16,,,,,,,73
6128,12,,15,,,,,,,
6129,3,,1,,,,,,,
6130,21,,26,,,,,,,
6131,14,,1,,,,,,,
6132,11,,,,,,,,,22
6133,6,1,16,,,,,,,73
6134,8,1,1,,5,,,,2,96
6135,42,,,,,,,,,
6136,,,,,,,,,,
6137,,,,,,,,,,
6138,,,128,,,,,,,
6139,28,1,64,,,,,,,18
6140,31,,,,,,,,,
6141,7,,1,,,,,,,
6142,6,,,,,,,,,
6143,,,,,,,,,,
6144,47,,1,,,,,,3,11
6145,21,,1,,,,,,,
6146,10,,,,,,,,,
6147,22,1,94,,,,,,,
6148,8,,1,,,,,,,
6149,22,,,,,,,,,
6150,16,,1,,,,,,,13
6151,,,1,,,,,,,
6152,29,,,,,,,,,
6153,15,,,,,,,,,
6154,31,,,,,,,,,
6155,,,,,,,,,,
6156,12,,62,,,,,,,
6157,18,,1,,,,,,,
6158,31,,,,,,,,,
6159,13,1,38,,1,,,,4,7
6160,,,,,,,,,,
6161,10,,1,,,,,,,
6162,14,,,,,,,,,
6163,15,,394,,,,,,,20
6164,,,1,,,,,,,
6165,4,,1,,,,,,,
6166,31,,,,,,,,,
6167,5,1,16,,,,,,,73
6168,,,,,,,,,,
6169,4,,198,3,,,,,,22
6170,8,,3,,,,,,,
6171,47,,1,,,,,,3,11
6172,,,,,,,,,,
6173,6,,,,,,1,,,2
6174,10,,,,4,,,,2,24
6175,13,,,,,,,,,
6176,4,1,201,,3,1,3,,4,13
6177,12,,,,,,,,,
6178,31,,,,,,,,,
6179,31,,,,,,,,,
6180,37,,,4,,1,,,,
6181,34,,1,2,,,,,,
6182,29,,,,,,,,,
6183,17,1,201,,3,1,3,,4,13
6184,28,,1,,,,,,,
6185,10,,,,4,,,,2,11
6186,,,1,,,,,,,
6187,,,1,,,,,,,
6188,9,1,,,3,,,,,
6189,24,,52,,,,1,,2,
6190,7,,46,,,,,,,3
6191,,,1,,,,,,,
6192,9,,57,,5,,,,,13
6193,7,,,,,,,,,
6194,11,,1,,,,,,,
6195,7,,,,,,,,,
6196,31,,,,,,,,,
6197,15,,11,,,,,,,39
6198,,,60,,,,,,,
6199,4,,,,,,,,,
6200,18,,2,,,,,,,75
6201,7,,1,,,,,,,
6202,12,,1,,,,,,,
6203,23,,,,,,,,,
6204,,,,,,,,,,
6205,44,,,,,,,,,
6206,13,,,,,,,,,
6207,8,,,,,,,,,
6208,9,,,,,,,,,
6209,4,,,,,,,,,
6210,10,,,,4,,,,2,61
6211,22,,,,,,,,,
6212,31,,,,,,,,,
6213,,,,,,,,,,
6214,4,1,52,2,4,,,,,45
6215,8,,5,,,,,,,
6216,4,,1,,,,,,,
6217,,,,,,,,,,
6218,8,,1,,,,,,,
6219,31,,,,,,,,,
6220,28,,1,,,,,,,
6221,15,,,,,,,,,
6222,10,,,,,,,,,
6223,42,1,201,,3,1,3,,4,13
6224,,,1,,,,,,,
6225,8,,6,,,,,,2,
6226,12,,60,,,,,,,34
6227,,,1,,,,,,,
6228,,,,,,,,,,
6229,31,,,,,,,,,
6230,,,1,,,,,,,
6231,7,,56,,,,,,,
6232,5,,,,,,,,,
6233,12,,,,,,,,,
6234,31,,,,,,,,,
6235,,,,,,,,,,
6236,31,,,,,,,,,
6237,4,,31,,,,,,2,4
6238,7,,,,,,,,,
6239,31,,,,,,,,,
6240,9,,,,,,1,,,2
6241,10,,,,,,,,,
6242,21,,1,,,,,,,
6243,11,,32,,,,,,,
6244,3,,1,,,,,,,13
6245,,,,,,,,,,
6246,8,,,,,,,,,
6247,6,1,16,,,,,,,73
6248,9,,,4,5,,,,,
6249,5,,1,,,,,,,
6250,21,,,,,,,,,
6251,45,,,,,,,,,
6252,,,,,,,,,,
6253,20,,,,,,,,,
6254,27,,,,,,,,,
6255,5,,,,,,,,,
6256,19,,,,,,,,,
6257,31,,,,,,,,,
6258,,,1,,,,,,,
6259,12,,,,,,,,,
6260,9,,112,,,,,,,
6261,,,,,,,,,,
6262,,,,,,,,,,
6263,,,,,,,,,,
6264,11,,1,,,,,,,
6265,,,,,,,,,,
6266,8,,60,,,,,,,
6267,7,,,,,,,,,
6268,10,,10,,,,,,,
6269,31,,,,,,,,,
6270,,,,,,,,,,
6271,5,,10,,3,,,,,
6272,15,,2,,,,,,,26
6273,3,,1,,,,2,,3,27
6274,10,,,,,,,,,
6275,,,64,,,,,,,
6276,,,1,,,,,,,
6277,7,,2,,,,,,4,22
6278,7,1,2,,,,,,,141
6279,31,,,,,,,,,
6280,18,,260,,,,,,,
6281,12,1,,,,,,,,
6282,,,3,,,,,,,5
6283,31,,,,,,,,,
6284,19,,,,,,,,,
6285,9,,,4,5,,,,,
6286,32,1,,,,,,,,
6287,9,,2,,,,,,,24
6288,,,394,,,,,,,
6289,9,,29,,,,,,,54
6290,31,,,,,,,,,
6291,8,,2,3,,,,,2,
6292,12,,2,,,,,,,
6293,6,1,16,,,,,,,73
6294,,,,,,,,,,
6295,,,,,,,,,,
6296,14,,2,,,,,,,
6297,5,,,,,,,,,
6298,22,,1,,,,,,,8
6299,31,,,,,,,,,
6300,19,,,,,,,,,
6301,35,,,,,,,,,
6302,6,,,,,,,,,
6303,23,,394,,,,,,,44
6304,,,,,,,,,,
6305,,,1,,,,,,,
6306,10,,,,4,,,,2,11
6307,17,,3,,4,,,,,
6308,,,,,,,,,,
6309,,,,,,,,,,
6310,17,,,,,,,,,
6311,9,,,,,,,,,
6312,6,,1,,,,,,,11
6313,,,1,,,,,,,
6314,20,,,,,,,,,
6315,,,1,,,,,,,
6316,42,,2,,,,,,,
6317,,,,,,,,,,
6318,,,1,,,,,,,
6319,7,,,,,,,,,
6320,6,,52,,,,1,,2,
6321,31,,,,,,,,,
6322,24,,,,,,,,,
6323,4,,1,,,,,,,
6324,12,1,4,3,,,,,,
6325,3,,46,,,,,,,3
6326,18,,,,,,,,,
6327,2,1,10,,,,,,,
6328,6,,,,,,,,,
6329,7,,,,,,,,,
6330,,,1,,,,,,,
6331,,,1,,,,,,,
6332,15,,12,6,,,,,,5
6333,3,,1,,,,,,,
6334,15,,,,,,,,,
6335,14,,,,,,,,,
6336,31,,,,,,,,,
6337,,,3,,1,,,,2,
6338,,,32,,,,,,,
6339,,,,,,,,,,
6340,22,,1,,,,,,,8
6341,5,,,,,,,,,
6342,6,,4,,,,,,,11
6343,986,,,,,,,,,
6344,31,,,,,,,,,
6345,15,,,,,,,,,
6346,975,1,,,,,,,,
6347,31,,,,,,,,,
6348,19,,,,,,,,,
6349,67,,1,,,,,,,
6350,31,,,,,,,,,
6351,11,,1,,,,,,,
6352,,,,,,,,,,
6353,12,,,,,,,,,
6354,9,,,,,,,,,
6355,31,,,,,,,,,
6356,7,,90,,,,,,,
6357,31,,,,,,,,,
6358,2,,1,,,,,,,
6359,,,,,,,,,,
6360,,,1,,,,,,,
6361,41,,1,,,,,,,
6362,,,1,,,,,,,
6363,6,,,,,,,,,
6364,,,,,,,,,,
6365,10,,44,3,,,,,,22
6366,3,,1,,,,,,,
6367,4,1,,,,,,,,82
6368,8,,52,,,,1,,2,
6369,31,,,,,,,,,
6370,18,,,,,,,,,
6371,34,,,,,,,,,
6372,11,,,,,,,,,
6373,9,,62,,,,,,,
6374,37,,29,,,,,,,54
6375,,,,,,,,,,
6376,2,1,14,,,,,,,
6377,,,1,,,,,,,
6378,7,,1,,,,,,,
6379,,,64,,,,,,,
6380,22,,1,,,,,,,
6381,4,,3,,,,,,,221
6382,,,,,,,,,,
6383,30,,,,,,,,,
6384,21,1,4,,,,,,,6
6385,14,,,,,,,,,
6386,,,1,,,,,,,
6387,6,,42,,,,,,3,32
6388,31,,,,,,,,,
6389,,,394,,,,,,,
6390,9,,,,,,,,,
6391,,,,,,,,,,
6392,,,,,,,,,,
6393,25,,60,,,,,,,34
6394,2,1,6,4,,,,,,
6395,6,1,94,,,,,,,
6396,13,1,16,,,,,,,73
6397,12,,11,,,,,,2,4
6398,19,,,,,,,,,
6399,5,1,,,,,,,,56
6400,9,,1,,,,,,,
6401,,,,,,,,,,
6402,9,,,,,,,,,
6403,,,,,,,,,,
6404,4,,1,,,,,,,
6405,,,,,,,,,,
6406,3,,2,3,,,,,,10
6407,5,,,,,,,,,
6408,31,,,,,,,,,
6409,12,,,,,,,,,
6410,31,,,,,,,,,
6411,,,394,,,,,,,
6412,12,,12,,,,,,,
6413,6,,54,,5,,,,,
6414,6,,1,,,,,,,
6415,3,,1,,,,,,,
6416,31,,,,,,,,,
6417,32,,36,2,,,,,,
6418,,,1,,,,,,,
6419,28,,1,,,,,,,
6420,21,,1,,,,,,,2
6421,,,130,,,,,,,
6422,24,,3,,,,,,,
6423,9,,,,,,,,,
6424,,,1,,,,,,,
6425,13,,,,,,,,,
6426,4,,394,,,,,,,
6427,28,1,56,,,,,,,18
6428,,,,,,,,,,
6429,24,,,,,,,,,
6430,8,,,,,,,,,
6431,980,,12,,,,,,,
6432,17,1,23,,,,,,,7
6433,31,,,,,,,,,
6434,,,,,,,,,,
6435,,,1,,,,,,,
6436,6,,47,,,,,,,31
6437,9,,1,,,,,,,
6438,4,1,66,,,,,,,18
6439,6,1,42,,,,,,,
6440,31,,,,,,,,,
6441,18,,2,3,,,,,2,
6442,,,,,,,,,,
6443,21,,1,,,,,,3,11
6444,6,1,4,3,,,,,,
6445,32,,93,,,,,,,4
6446,7,,,,,,,,,
6447,4,,3,,,,,,,221
6448,975,,16,,4,,,,,66
6449,34,,1,2,,,,,,
6450,34,,1,2,,,,,,
6451,15,,2,,,,,,,47
6452,31,,,,,,,,,
6453,20,,,,,,,,,
6454,,,,,,,,,,
6455,,,1,,,,,,,
6456,,,1,,,,,,,
6457,15,,,,,,,,,
6458,,,,,,,,,,
6459,6,,54,,5,,,,,
6460,31,,,,,,,,,
6461,31,,,,,,,,,
6462,,,,,,,,,,
6463,,,8,,,,,,,
6464,31,,,,,,,,,
6465,42,1,1,,,,,,,
6466,27,,175,,6,,,,2,174
6467,14,,1,,,,,,,
6468,20,,42,,,,,,3,32
6469,6,,9,,,,,,,
6470,,,1,,,,,,,
6471,8,,5,,,,,,,
6472,46,,1,,,,,,,
6473,,,,,,,,,,
6474,13,,,,,,,,,
6475,6,,47,,,,,,,31
6476,22,,14,,,,,,2,9
6477,7,1,1,,,,,,,
6478,5,,,,,,,,,
6479,38,,,,,,,,,
6480,31,,,,,,,,,
6481,26,,,,,,,,,
6482,34,,2,,,,,,,10
6483,10,,,,4,,,,2,11
6484,34,,1,2,,,,,,
6485,,,,,,,,,,
6486,14,,64,,,,,,2,
6487,29,,,,,,,,,
6488,23,1,2,,,,,,,163
6489,15,,,,,,,,,
6490,22,,,,,,,,2,
6491,4,,,,,,,,,
6492,31,,,,,,,,,
6493,22,,,,,,,,,
6494,8,,56,,,,,,,
6495,23,,10,,,,,,,
6496,38,,2,,3,,,,,8
6497,,,,,,,,,,
6498,986,,,,,,,,,
6499,10,,60,,,,,,,
6500,4,,,,4,,,,2,30
6501,29,,394,,,,,,,
6502,4,,,,,,,,,
6503,3,1,,,,,,,,56
6504,14,,,,,,,,,
6505,21,,1,,,,,,,
6506,12,,11,,,,,,,
6507,21,,1,,,,,,,2
6508,11,,12,6,,,,,,5
6509,27,,1576,,,,,,,13
6510,31,,,,,,,,,
6511,23,,1,,,,,,,
6512,31,,,,,,,,,
6513,21,,3,,4,,,,,
6514,4,,1,,,,,,,
6515,4,1,1,,5,,,,2,96
6516,27,1,31,,,,,,,53
6517,10,,96,,,,,,,
6518,31,,,,,,,,,
6519,8,,,,,,,,,
6520,23,,,,,,,,,
6521,,,93,,,,,,,
6522,14,,2,,,,,,,25
6523,31,,,,,,,,,
6524,5,,3,,,,,,,5
6525,34,,1,2,,,,,,
6526,5,,,,4,,,,2,16
6527,31,,,,,,,,,
6528,20,,,,,,,,,
6529,,,,,,,,,,
6530,10,,,,4,,,,2,21
6531,26,1,2,,,,,,,
6532,5,1,31,,,,,,,53
6533,38,,2,,3,,,,,8
6534,,,37,,,,,,,
6535,7,1,81,,5,,,,,
6536,,,,,,,,,,
6537,18,,56,,,,,,,
6538,22,,1,,,,,,,8
6539,16,,1,,,,,,,
6540,,,,,,,,,,
6541,,,2,3,,,,,,10
6542,28,1,66,,,,,,,18
6543,31,1,16,,,,,,,73
6544,,,,,,,,,,
6545,31,,,,,,,,,
6546,29,,1,,,,,,,
6547,,,2,,,,,,,
6548,,,,,,,,,,
6549,4,,,,,,,,,
6550,5,,62,,,,,,,
6551,10,,,,4,,,,2,12
6552,,,1,,,,,,,
6553,29,,1,,,,,,,2
6554,4,,60,,,,,,,34
6555,23,,2,,3,,,,,8
6556,,,1,,,,,,,
6557,22,1,94,,,,,,,
6558,4,,2,3,,,,,2,
6559,7,,1,,,,,,,
6560,31,,,,,,,,,
6561,31,,,,,,,,,
6562,22,,,,,,,,,
6563,,,64,,,,,,,
6564,31,,,,,,,,,
6565,14,1,,,,,,,2,2
6566,975,,11,,,,,,,
6567,7,1,,,,,,,2,2
6568,24,,27,,,,,,,7
6569,18,,1,,,,,,,
6570,12,,,,,,,,,
6571,31,,,,,,,,,
6572,,,1,,,,,,,
6573,7,,,,,,,,,
6574,32,,1,,,,,,,
6575,9,,1,,,,,,,
6576,,,1,,,,,,,
6577,12,1,,,,,,,,
6578,,,1,,,,,,,
6579,38,,,4,5,,,,,
6580,31,,,,,,,,,
6581,976,1,81,,5,,,,,
6582,9,,4,,5,,,,,18
6583,7,,1,,,,,,,
6584,17,,,,,,,,,
6585,,,1,,,,,,,
6586,8,1,4,3,,,,,,
6587,31,,1,,,,,,,
6588,975,,16,,4,,,,,66
6589,975,,11,,,,,,2,4
6590,30,,31,,,,,,,
6591,6,,56,,,,,,,
6592,10,,,,4,,,,2,12
6593,11,,20,,,,,,,29
6594,4,,,,,,,,,
6595,31,,,,,,,,,
6596,8,,1,,,,,,,
6597,,,1,,,,,,,
6598,23,,,,,,,,,
6599,10,1,32,,,,,,,
6600,25,,12,6,,,,,,5
6601,26,,,,,,,,,
6602,,,1,,,,,,,
6603,22,,1,,,,,,,2
6604,8,,,,,,,,,
6605,31,,,,,,,,,
6606,31,,,,,,,,,
6607,975,1,,,,,,,,
6608,38,,,,,,,,,
6609,,,1,,,,,,,
6610,3,,,,,,,,,
6611,,,,,,,,,,
6612,,,,,,,,,,
6613,22,,1,,,,,,,
6614,19,,,,,,,,,
6615,31,,,,,,,,,
6616,34,,1,,,,,,,
6617,,,96,,,,,,,
6618,,,,,,,,,,
6619,17,,,,,,,,,
6620,12,,,,,,,,,
6621,3,,,,,,,,,
6622,,,,,,,,,,
6623,24,,,,,,,,,
6624,33,,1,,,,,,,
6625,31,,,,,,,,,
6626,27,,,,,,,,,
